hazard,index_name,iso3,country,policy_year,n_months,n_payout_months,optimal_threshold,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,net_score,tp,fp,fn,tn,above_threshold_with_payout,above_threshold_no_payout,below_threshold_with_payout,below_threshold_no_payout,rdd_treated_n,rdd_untreated_5pct_n,rdd_untreated_10pct_n,near_below_5pct_n,near_tn_below_5pct,near_fn_below_5pct,near_below_payout_rate_5pct,near_below_10pct_n,near_tn_below_10pct,near_fn_below_10pct,near_below_payout_rate_10pct
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2006/07,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2007/08,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2008/09,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2009/10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2010/11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2011/12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2012/13,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2013/14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2014/15,12,2,73.60054717554569,1.0,1.0,1.0,1.0,1.0,1.0,12.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2015/16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2016/17,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2017/18,12,1,80.95811471951394,0.9166666666666666,0.9545454545454546,0.5,1.0,0.9090909090909091,0.6666666666666666,10.0,1.0,1.0,0.0,10.0,1.0,1.0,0.0,10.0,1.0,1.0,2.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2018/19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2019/20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2020/21,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2021/22,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2022/23,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2023/24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,AIA,Anguilla,2024/25,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
